CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
68917-18-0,mentha arvensis,minty,green,herbal,minty,"['minty', 'green', 'herbal']"
68608-35-5,mentha arvensis oil terpenes,minty,cooling,fresh,minty,"['minty', 'cooling', 'fresh']"
68917-14-6,"mentha arvensis oil, terpeneless",minty,herbal,fresh,minty,"['minty', 'herbal', 'fresh']"
68917-15-7,mentha citrata oil,minty,camphoraceous,lavender,minty,"['minty', 'camphoraceous', 'lavender']"
68683-20-5,menthadiene-7-methyl formate,citrus,herbal,minty,citrus,"['citrus', 'herbal', 'minty']"
89-78-1,menthol,minty,fresh,cooling,minty,"['minty', 'fresh', 'cooling']"
15356-70-4,menthol racemic,minty,fresh,cooling,minty,"['minty', 'fresh', 'cooling']"
10458-14-7,menthone,minty,fresh,herbal,minty,"['minty', 'fresh', 'herbal']"
89-48-5,"menthyl acetate (1alpha,2beta,5alpha)",herbal,minty,fresh,herbal,"['herbal', 'minty', 'fresh']"
16409-45-3,menthyl acetate (isomer unspecified),herbal,tea,cooling,herbal,"['herbal', 'tea', 'cooling']"
16409-46-4,menthyl isovalerate,fruity,sweet,woody,fruity,"['fruity', 'sweet', 'woody']"
86803-90-9,methoxy dicyclopentadiene carboxaldehyde,marine,aldehydic,floral,marine,"['marine', 'aldehydic', 'floral']"
3613-30-7,methoxycitronellal,floral,sweet,fresh,floral,"['floral', 'sweet', 'fresh']"
2986-54-1,methoxycyclododecane,woody,cedarwood,patchouli,woody,"['woody', 'cedarwood', 'patchouli']"
63450-30-6,methoxymethylpyrazine,gourmand,nutty,coffee,gourmand,"['gourmand', 'nutty', 'coffee']"
3149-28-8,methoxypyrazine,gourmand,sweet,vanilla,gourmand,"['gourmand', 'sweet', 'vanilla']"
67634-12-2,methyl 2-(((4-(4-hydroxy-4-methylpentyl)-3-cyclohexenyl)methylene)amino)benzoate,floral,sweet,neroli,floral,"['floral', 'sweet', 'neroli']"
41270-80-8,methyl 2-(formylamino)benzoate,floral,neroli,jasmin,floral,"['floral', 'neroli', 'jasmin']"
67801-44-9,methyl 2-(octylideneamino)benzoate,floral,fruity,neroli,floral,"['floral', 'fruity', 'neroli']"
33662-58-7,"methyl 2,4-dihydroxy-m-toluate",marine,mossy,aldehydic,marine,"['marine', 'mossy', 'aldehydic']"
28371-99-5,"methyl 2,6,10-trimethylcyclododeca-2,5,9-trien-1-yl ketone",amber,woody,smoky,amber,"['amber', 'woody', 'smoky']"
28043-10-9,"methyl 2,6,6-trimethylcyclohex-2-ene-1-carboxylate",floral,fruity,woody,floral,"['floral', 'fruity', 'woody']"
67800-80-0,methyl 2-[(2-methylundecylidene)amino]benzoate,floral,neroli,green,floral,"['floral', 'neroli', 'green']"
67801-42-7,"methyl 2-[(3,5,5-trimethylhexylidene)amino]benzoate",citrus,fresh,ozonic,citrus,"['citrus', 'fresh', 'ozonic']"
39129-16-3,methyl 2-[(phenylmethylene)amino]benzoate,gourmand,almond,cherry,gourmand,"['gourmand', 'almond', 'cherry']"
68738-99-8,"methyl 2-[[[2,4(or 3,5)-dimethyl-3-cyclohexen-1-yl]methylene]amino]benzoate",green,citrus,floral,green,"['green', 'citrus', 'floral']"
67924-13-4,methyl 2-[[2-(phenylmethylene)octylidene]amino]benzoate,floral,fresh,waxy,floral,"['floral', 'fresh', 'waxy']"
104037-85-6,"methyl 2-[[3-(1,3-benzodioxol-5-yl)-2-methyl-1-propenyl]amino]benzoate",floral,green,sweet,floral,"['floral', 'green', 'sweet']"
611-13-2,methyl 2-furoate,gourmand,nutty,fruity,gourmand,"['gourmand', 'nutty', 'fruity']"
2396-77-2,methyl 2-hexenoate,fruity,green,pineapple,fruity,"['fruity', 'green', 'pineapple']"
868-57-5,methyl 2-methylbutyrate,fruity,green,apple,fruity,"['fruity', 'green', 'apple']"
111-79-5,methyl 2-nonenoate,green,sweet,fruity,green,"['green', 'sweet', 'fruity']"
111-80-8,methyl 2-nonynoate,floral,violet,cucumber,floral,"['floral', 'violet', 'cucumber']"
111-12-6,methyl 2-octynoate,green,violet,cucumber,green,"['green', 'violet', 'cucumber']"
1072-83-9,methyl 2-pyrrolyl ketone,fruity,coconut,oily,fruity,"['fruity', 'coconut', 'oily']"
52557-97-8,"methyl 3,3-dimethylbicyclo[2.2.1]heptane-2-carboxylate",herbal,pine,citrus,herbal,"['herbal', 'pine', 'citrus']"
2270-60-2,"methyl 3,7-dimethyl-6-octenoate",floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
72175-33-8,methyl 3-bicyclo[2.2.1]hept-5-en-2-yl-3-methyloxirane-2-carboxylate,floral,fruity,jasmin,floral,"['floral', 'fruity', 'jasmin']"
2396-78-3,methyl 3-hexenoate,earthy,sweet,fruity,earthy,"['earthy', 'sweet', 'fruity']"
21188-58-9,methyl 3-hydroxyhexanoate,fruity,sweet,pineapple,fruity,"['fruity', 'sweet', 'pineapple']"
13532-18-8,methyl 3-methylthiopropionate,fruity,pineapple,grapefruit,fruity,"['fruity', 'pineapple', 'grapefruit']"
13481-87-3,methyl 3-nonenoate,fruity,watermelon,pear,fruity,"['fruity', 'watermelon', 'pear']"
39924-52-2,methyl 3-oxo-2-(pent-2-enyl)cyclopentaneacetate,floral,jasmin,soft,floral,"['floral', 'jasmin', 'soft']"
68966-86-9,methyl 4(or 1)-isopropyl-1(or 4)-methylbicyclo[2.2.2]oct-5-ene-2-carboxylate,woody,spicy,peppery,woody,"['woody', 'spicy', 'peppery']"
5760-50-9,methyl 9-undecenoate,balsamic,earthy,rubbery,balsamic,"['balsamic', 'earthy', 'rubbery']"
79-20-9,methyl acetate,fruity,sweet,honey,fruity,"['fruity', 'sweet', 'honey']"
105-45-3,methyl acetoacetate,fruity,citrus,green,fruity,"['fruity', 'citrus', 'green']"
67905-40-2,methyl alpha-ionone glycidate,woody,floral,violet,woody,"['woody', 'floral', 'violet']"
121-98-2,methyl anisate,spicy,balsamic,anisic,spicy,"['spicy', 'balsamic', 'anisic']"
134-20-3,methyl anthranilate,floral,neroli,fruity,floral,"['floral', 'neroli', 'fruity']"
4707-47-5,methyl atrarate,woody,mossy,earthy,woody,"['woody', 'mossy', 'earthy']"
93-58-3,methyl benzoate,floral,ylang,jasmin,floral,"['floral', 'ylang', 'jasmin']"
93-08-3,methyl beta-naphthyl ketone,floral,neroli,honey,floral,"['floral', 'neroli', 'honey']"
37161-74-3,methyl beta-phenylglycidate,fruity,fresh,strawberry,fruity,"['fruity', 'fresh', 'strawberry']"
623-42-7,methyl butyrate,fruity,apple,banana,fruity,"['fruity', 'apple', 'banana']"
103-26-4,methyl cinnamate,spicy,balsamic,cinnamon,spicy,"['spicy', 'balsamic', 'cinnamon']"
13894-62-7,methyl cis-3-hexenoate,fruity,floral,oily,fruity,"['fruity', 'floral', 'oily']"
41654-15-3,methyl cis-5-octenoate,fruity,sweet,woody,fruity,"['fruity', 'sweet', 'woody']"
30640-46-1,methyl cyclohexadiene (mixture of isomers),citrus,lemon,lime,citrus,"['citrus', 'lemon', 'lime']"
14352-61-5,methyl cyclohexylacetate,fruity,sweet,mango,fruity,"['fruity', 'sweet', 'mango']"
40203-73-4,methyl cyclopentylideneacetate,floral,fruity,tuberose,floral,"['floral', 'fruity', 'tuberose']"
110-42-9,methyl decanoate,fruity,oily,floral,fruity,"['fruity', 'oily', 'floral']"
811412-48-3,methyl decenone,herbal,green,watery,herbal,"['herbal', 'green', 'watery']"
24851-98-7,methyl dihydrojasmonate,floral,fresh,jasmin,floral,"['floral', 'fresh', 'jasmin']"
8050-15-5,methyl ester of rosin (partially hydrogenated),woody,cedarwood,balsamic,woody,"['woody', 'cedarwood', 'balsamic']"
106-73-0,methyl heptanoate,fruity,sweet,berry,fruity,"['fruity', 'sweet', 'berry']"
112-39-0,methyl hexadecanoate,balsamic,waxy,floral,balsamic,"['balsamic', 'waxy', 'floral']"
106-70-7,methyl hexanoate,fruity,pineapple,apricot,fruity,"['fruity', 'pineapple', 'apricot']"
37172-53-5,methyl hexyl oxo cyclopentanone carboxylate,floral,jasmin,green,floral,"['floral', 'jasmin', 'green']"
1335-46-2,methyl ionone (mixture of isomers),floral,violet,woody,floral,"['floral', 'violet', 'woody']"
68937-31-5,methyl ionone tails,floral,woody,violet,floral,"['floral', 'woody', 'violet']"
547-63-7,methyl isobutyrate,fruity,ethereal,pineapple,fruity,"['fruity', 'ethereal', 'pineapple']"
556-24-1,methyl isovalerate,fruity,apple,pineapple,fruity,"['fruity', 'apple', 'pineapple']"
1211-29-6,methyl jasmonate,floral,fresh,magnolia,floral,"['floral', 'fresh', 'magnolia']"
111-82-0,methyl laurate,aldehydic,waxy,coconut,aldehydic,"['aldehydic', 'waxy', 'coconut']"
67633-95-8,methyl lavender ketone,herbal,lavender,green,herbal,"['herbal', 'lavender', 'green']"
301-00-8,methyl linoleate (48%) methyl linolenate (52%) mixture,floral,fruity,sweet,floral,"['floral', 'fruity', 'sweet']"
74-93-1,methyl mercaptan,food like,vegetable,cabbage,food like,"['food like', 'vegetable', 'cabbage']"
124-10-7,methyl myristate,floral,oily,violet,floral,"['floral', 'oily', 'violet']"
2719-08-6,methyl n-acetylanthranilate,fruity,soft,strawberry,fruity,"['fruity', 'soft', 'strawberry']"
93-60-7,methyl nicotinate,spicy,herbal,tobacco,spicy,"['spicy', 'herbal', 'tobacco like']"
85-91-6,methyl n-methylanthranilate,floral,warm,neroli,floral,"['floral', 'warm', 'neroli']"
111-11-5,methyl octanoate,fruity,orange,waxy,fruity,"['fruity', 'orange', 'waxy']"
606-45-1,methyl o-methoxybenzoate,floral,herbal,hyacinth,floral,"['floral', 'herbal', 'hyacinth']"
3558-60-9,methyl phenethyl ether,floral,rose,jasmin,floral,"['floral', 'rose', 'jasmin']"
101-41-7,methyl phenylacetate,honey,sweet,floral,honey,"['honey', 'sweet', 'floral']"
99-75-2,methyl p-methylbenzoate,floral,sweet,anisic,floral,"['floral', 'sweet', 'anisic']"
554-12-1,methyl propionate,fruity,fermented,fresh,fruity,"['fruity', 'fermented', 'fresh']"
3549-23-3,methyl p-tert-butylphenylacetate,fruity,honey,oily,fruity,"['fruity', 'honey', 'oily']"
119-36-8,methyl salicylate,herbal,medicinal,ylang,herbal,"['herbal', 'medicinal', 'ylang']"
2432-51-1,methyl thiobutyrate,fruity,tropical-fruit,green,fruity,"['fruity', 'tropical-fruit', 'green']"
2396-85-2,methyl trans-2-octenoate,green,fruity,pear,green,"['green', 'fruity', 'pear']"
111-81-9,methyl undec-10-enoate,citrus,oily,waxy,citrus,"['citrus', 'oily', 'waxy']"
624-24-8,methyl valerate,fruity,green,apple,fruity,"['fruity', 'green', 'apple']"
5533-03-9,methyl vanillyl ether,gourmand,sweet,medicinal,gourmand,"['gourmand', 'sweet', 'medicinal']"
81752-87-6,"methyl-2,2-dimethyl-6-methylene-1-cyclohexanecarboxylate",floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
68845-02-3,"methyl-2-[[(2,4-dimethyl-3-cyclohexen-1-yl)methylene]amino]benzoate",green,floral,citrus,green,"['green', 'floral', 'citrus']"
127-42-4,methyl-alpha-ionone,woody,floral,violet,woody,"['woody', 'floral', 'violet']"
127-43-5,methyl-beta-ionone,floral,violet,fruity,floral,"['floral', 'violet', 'fruity']"
61699-38-5,methylcyclooctyl carbonate,herbal,fresh,floral,herbal,"['herbal', 'fresh', 'floral']"
80-71-7,methylcyclopentenolone,gourmand,sweet,caramel,gourmand,"['gourmand', 'sweet', 'caramel']"
1335-09-7,methylheptenol,green,floral,citrus,green,"['green', 'floral', 'citrus']"
409-02-9,methylheptenone (isomer unspecified),gourmand,nutty,roasted,gourmand,"['gourmand', 'nutty', 'roasted']"
92457-18-6,michelia alba extract,floral,fruity,dried-fruit,floral,"['floral', 'fruity', 'dried-fruit']"
8031-03-6,mimosa absolute,floral,powdery,green,floral,"['floral', 'powdery', 'green']"
13341-72-5,mintlactone,gourmand,vanilla,sweet,gourmand,"['gourmand', 'vanilla', 'sweet']"
8052-35-5,"molasses, blackstrap",gourmand,rum,grape,gourmand,"['gourmand', 'rum', 'grape']"
84649-97-8,mushroom absolute,earthy,mushroom,musty,earthy,"['earthy', 'mushroom', 'musty']"
81-14-1,musk ketone,musk like,sweet,powdery,musk like,"['musk like', 'sweet', 'powdery']"
72403-67-9,myraldyl acetate,floral,sweet,fruity,floral,"['floral', 'sweet', 'fruity']"
123-35-3,myrcene,citrus,herbal,dry,citrus,"['citrus', 'herbal', 'dry']"
543-39-5,myrcenol,citrus,fresh,floral,citrus,"['citrus', 'fresh', 'floral']"
1118-39-4,myrcenyl acetate,citrus,fresh,lavender,citrus,"['citrus', 'fresh', 'lavender']"
124-25-4,myristaldehyde,aldehydic,waxy,balsamic,aldehydic,"['aldehydic', 'waxy', 'balsamic']"
629-63-0,myristo nitrile,aldehydic,floral,green,aldehydic,"['aldehydic', 'floral', 'green']"
8016-37-3,myrrh,amber,balsamic,sweet,amber,"['amber', 'balsamic', 'sweet']"
9000-45-7,myrrh gum,amber,mushroom,warm,amber,"['amber', 'mushroom', 'warm']"
515-00-4,myrtenol,herbal,pine,minty,herbal,"['herbal', 'pine', 'minty']"
1079-01-2,myrtenyl acetate,herbal,floral,violet,herbal,"['herbal', 'floral', 'violet']"
8008-46-6,myrtle oil,herbal,fresh,green,herbal,"['herbal', 'fresh', 'green']"
84434-18-4,"n,2-dimethyl-n-phenylbutyramide",citrus,grapefruit,rhubarb,citrus,"['citrus', 'grapefruit', 'rhubarb']"
996-97-4,"n,n-diethyloctamide",spicy,fresh,tobacco,spicy,"['spicy', 'fresh', 'tobacco like']"
68489-14-5,n-[(ethoxycarbonyl)methyl)-p-menthane-3-carboxamide,herbal,minty,cooling,herbal,"['herbal', 'minty', 'cooling']"
3738-00-9,"naphtho[2,1-b]furan, dodecahydro-3a,6,6,9a-tetramethyl-",amber,woody,dry,amber,"['amber', 'woody', 'dry']"
6790-58-5,"naphtho[2,1-b]furan, dodecahydro-3a,6,6,9a-tetramethyl-, (3ar,5as,9as,9br)-",amber,woody,herbal,amber,"['amber', 'woody', 'herbal']"
8023-75-4,narcissus absolute,floral,green,neroli,floral,"['floral', 'green', 'neroli']"
68917-12-4,narcissus poeticus absolute,floral,green,neroli,floral,"['floral', 'green', 'neroli']"
15706-73-7,n-butyl 2-methylbutyrate,fruity,green,cocoa,fruity,"['fruity', 'green', 'cocoa']"
106-26-3,neral,citrus,fresh,lemon,citrus,"['citrus', 'fresh', 'lemon']"
106-25-2,nerol,floral,rose,citrus,floral,"['floral', 'rose', 'citrus']"
1786-08-9,nerol oxide,green,floral,neroli,green,"['green', 'floral', 'neroli']"
142-50-7,nerolidol (cis),floral,rose,woody,floral,"['floral', 'rose', 'woody']"
7212-44-4,nerolidol (isomer unspecified),floral,rose,woody,floral,"['floral', 'rose', 'woody']"
2306-78-7,nerolidyl acetate (isomer unspecified),floral,sweet,citrus,floral,"['floral', 'sweet', 'citrus']"
56001-43-5,"nerolidyl acetate (s,z)",floral,sweet,citrus,floral,"['floral', 'sweet', 'citrus']"
141-12-8,neryl acetate,floral,citrus,rose,floral,"['floral', 'citrus', 'rose']"
999-40-6,neryl butyrate,floral,rose,fruity,floral,"['floral', 'rose', 'fruity']"
2142-94-1,neryl formate,fruity,green,floral,fruity,"['fruity', 'green', 'floral']"
2345-24-6,neryl isobutyrate,fruity,sweet,berry,fruity,"['fruity', 'sweet', 'berry']"
3915-83-1,neryl isovalerate,floral,rose,herbal,floral,"['floral', 'rose', 'herbal']"
105-91-9,neryl propionate,fruity,sweet,floral,fruity,"['fruity', 'sweet', 'floral']"
39711-79-0,n-ethyl-2-isopropyl-5-methylcyclohexane carboxamide,minty,herbal,fresh,minty,"['minty', 'herbal', 'fresh']"
179911-08-1,n-ethyl-n-(3-methylphenyl)propionamide,woody,vetiver,fresh,woody,"['woody', 'vetiver', 'fresh']"
1438-94-4,n-furfurylpyrrole,green,plastic,waxy,green,"['green', 'plastic', 'waxy']"
19089-92-0,n-hexyl 2-butenoate,fruity,caramel,green,fruity,"['fruity', 'caramel', 'green']"
8014-68-4,niaouli oil,aromatic,eucalyptus,fresh,aromatic,"['aromatic', 'eucalyptus', 'fresh']"
73507-35-4,nigella damascena absolute,floral,honey,spicy,floral,"['floral', 'honey', 'spicy']"
18836-52-7,n-isobutyldeca-trans-2-trans-4-dienamide,spicy,herbal,green,spicy,"['spicy', 'herbal', 'green']"
557-48-2,nona-2-trans-6-cis-dienal,green,cucumber,fatty,green,"['green', 'cucumber', 'fatty']"
124-19-6,nonanal,aldehydic,sweet,orange,aldehydic,"['aldehydic', 'sweet', 'orange']"
18824-63-0,nonanal dimethyl acetal,fruity,pear,green,fruity,"['fruity', 'pear', 'green']"
54815-13-3,"nonane, 1,1-diethoxy-",aldehydic,floral,rose,aldehydic,"['aldehydic', 'floral', 'rose']"
39864-15-8,nonanediyl diacetate,floral,jasmin,earthy,floral,"['floral', 'jasmin', 'earthy']"
112-05-0,nonanoic acid,floral,neroli,green,floral,"['floral', 'neroli', 'green']"
2444-46-4,nonanoyl 4-hydroxy-3-methoxybenzylamide,spicy,pungent,chilli-pepper,spicy,"['spicy', 'pungent', 'chilli-pepper']"
29127-83-1,nonen acid nitrile,green,orris,fatty,green,"['green', 'orris', 'fatty']"
68526-90-9,"nonene, hydroformylation products, high-boiling",floral,woody,violet,floral,"['floral', 'woody', 'violet']"
143-13-5,nonyl acetate,citrus,aldehydic,orange,citrus,"['citrus', 'aldehydic', 'orange']"
143-08-8,nonyl alcohol,floral,fresh,rose,floral,"['floral', 'fresh', 'rose']"
4674-50-4,nootkatone,citrus,grapefruit,woody,citrus,"['citrus', 'grapefruit', 'woody']"
128-50-7,nopol,herbal,pine,camphoraceous,herbal,"['herbal', 'pine', 'camphoraceous']"
128-51-8,nopyl acetate,woody,floral,fruity,woody,"['woody', 'floral', 'fruity']"
8008-45-5,nutmeg,spicy,warm,balsamic,spicy,"['spicy', 'warm', 'balsamic']"
97676-29-4,oak chips (white) extract,woody,mossy,dry,woody,"['woody', 'mossy', 'dry']"
97676-30-7,oak chips co2 extract,woody,mossy,dry,woody,"['woody', 'mossy', 'dry']"
9000-50-4,oakmoss absolute,woody,mossy,earthy,woody,"['woody', 'mossy', 'earthy']"
68917-10-2,oakmoss extract,woody,mossy,earthy,woody,"['woody', 'mossy', 'earthy']"
5986-38-9,ocimenol,fruity,citrus,sweet,fruity,"['fruity', 'citrus', 'sweet']"
72214-23-4,ocimenyl acetate,herbal,fresh,citrus,herbal,"['herbal', 'fresh', 'citrus']"
95-48-7,o-cresol,animal like,musty,medicinal,animal like,"['animal like', 'musty', 'medicinal']"
33704-60-8,"octahydro-1,1,2,3,3-pentamethyl-1h-indene",musk like,warm,floral,musk like,"['musk like', 'warm', 'floral']"
71832-76-3,"octahydro-2,5,5-trimethyl-2-naphthol",animal like,musk like,amber,animal like,"['animal like', 'musk like', 'amber']"
30772-79-3,"octahydro-4,7-methano-1h-indenecarbaldehyde",green,melon,aldehydic,green,"['green', 'melon', 'aldehydic']"
30772-69-1,"octahydro-4,7-methano-1h-indenemethyl acetate",woody,fruity,floral,woody,"['woody', 'fruity', 'floral']"
23333-91-7,"octahydro-4,8a-dimethyl-4a(2h)-naphthol",fruity,earthy,soft,fruity,"['fruity', 'earthy', 'soft']"
68738-96-5,"octahydro-5,5-dimethylnaphthalene-2-carbaldehyde",floral,ozonic,melon,floral,"['floral', 'ozonic', 'melon']"
59056-64-3,"octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bh-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methanol",amber,sage,warm,amber,"['amber', 'sage', 'warm']"
59056-62-1,"octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bh-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methyl acetate",woody,amber,sandalwood,woody,"['woody', 'amber', 'sandalwood']"
41724-19-0,"octahydro-7-methyl-1,4-methanonaphtalen-6(2h)-one",herbal,aromatic,woody,herbal,"['herbal', 'aromatic', 'woody']"
68738-94-3,"octahydro-8,8-dimethylnaphthalene-2-carbaldehyde",ozonic,herbal,clean,ozonic,"['ozonic', 'herbal', 'clean']"
4430-31-3,octahydrocoumarin,balsamic,vanilla,hay,balsamic,"['balsamic', 'vanilla', 'hay']"
124-13-0,octanal,aldehydic,orange,green,aldehydic,"['aldehydic', 'orange', 'green']"
54889-48-4,octanal diethyl acetal,green,citrus,oily,green,"['green', 'citrus', 'oily']"
10022-28-3,octanal dimethyl acetal,green,floral,citrus,green,"['green', 'floral', 'citrus']"
929253-05-4,"octanal, 6-methoxy-2,6-dimethyl-",ozonic,herbal,citrus,ozonic,"['ozonic', 'herbal', 'citrus']"
69102-96-1,"octanal, 7-hydroxy-3,7-dimethyl-, distn. residues, nonvolatile",floral,muguet,citrus,floral,"['floral', 'muguet', 'citrus']"
124-12-9,octanenitrile,green,aldehydic,oily,green,"['green', 'aldehydic', 'oily']"
112-14-1,octyl acetate,fruity,green,herbal,fruity,"['fruity', 'green', 'herbal']"
110-39-4,octyl butyrate,fruity,green,waxy,fruity,"['fruity', 'green', 'waxy']"
22874-79-9,octyl crotonate,fruity,fungal,floral,fruity,"['fruity', 'fungal', 'floral']"
112-32-3,octyl formate,fruity,rose,orange,fruity,"['fruity', 'rose', 'orange']"
109-15-9,octyl isobutyrate,fruity,earthy,fatty,fruity,"['fruity', 'earthy', 'fatty']"
7786-58-5,octyl isovalerate,floral,rose,honey,floral,"['floral', 'rose', 'honey']"
68916-40-5,"oils, geranium, acetylated",floral,citrus,fruity,floral,"['floral', 'citrus', 'fruity']"
1450625-49-6,"oils, patchouli, patchoulol synthase-modified saccharomyces cerevisiae-fermented,
from carbohydrates",woody,earthy,patchouli,woody,"['woody', 'earthy', 'patchouli']"
8016-36-2,olibanum absolute,woody,peppery,dry,woody,"['woody', 'peppery', 'dry']"
7779-50-2,omega-6-hexadecenlactone,musk like,powdery,sweet,musk like,"['musk like', 'powdery', 'sweet']"
106-02-5,omega-pentadecalactone,musk like,powdery,balsamic,musk like,"['musk like', 'powdery', 'balsamic']"
135-02-4,o-methoxybenzaldehyde,fruity,sweet,almond,fruity,"['fruity', 'sweet', 'almond']"
1504-74-1,o-methoxycinnamaldehyde,spicy,cinnamon,woody,spicy,"['spicy', 'cinnamon', 'woody']"
86-26-0,o-phenyl anisole,floral,fruity,rose,floral,"['floral', 'fruity', 'rose']"
8021-36-1,opoponax absolute,amber,sweet,mushroom,amber,"['amber', 'sweet', 'mushroom']"
644-35-9,o-propylphenol,smoky,medicinal,burnt,smoky,"['smoky', 'medicinal', 'burnt']"
8030-28-2,orange blossoms absolute,floral,neroli,sweet,floral,"['floral', 'neroli', 'sweet']"
68514-75-0,orange essence oil,citrus,orange,sweet,citrus,"['citrus', 'orange', 'sweet']"
8016-38-4,"orange flower absolute, bitter (neroli and neroli bigarade)",floral,neroli,sweet,floral,"['floral', 'neroli', 'sweet']"
68916-04-1,"orange oil, bitter",citrus,orange,fruity,citrus,"['citrus', 'orange', 'fruity']"
8008-57-9,"orange oil, sweet",citrus,orange,fruity,citrus,"['citrus', 'orange', 'fruity']"
68606-94-0,"orange oil, sweet terpeneless",citrus,orange,fruity,citrus,"['citrus', 'orange', 'fruity']"
68917-07-7,"orange oil, sweet, psoralen-free",citrus,orange,fruity,citrus,"['citrus', 'orange', 'fruity']"
68647-72-3,"orange oil, sweet, terpenes",citrus,fruity,orange,citrus,"['citrus', 'fruity', 'orange']"
8028-48-6,"orange peel, sweet, extract",citrus,fresh,sharp,citrus,"['citrus', 'fresh', 'sharp']"
91079-33-3,"orange, sour, ext., sapond.",citrus,orange,floral,citrus,"['citrus', 'orange', 'floral']"
8007-11-2,origanum oil,herbal,fresh,green,herbal,"['herbal', 'fresh', 'green']"
68917-05-5,osmanthus absolute,fruity,peach,floral,fruity,"['fruity', 'peach', 'floral']"
137-06-4,o-toluenethiol,sulfurous,onion,savoury,sulfurous,"['sulfurous', 'onion', 'savoury']"
533-18-6,o-tolyl acetate,floral,sweet,fruity,floral,"['floral', 'sweet', 'fruity']"
19819-98-8,o-tolylethanol,floral,rose,cyclamen,floral,"['floral', 'rose', 'cyclamen']"
28645-51-4,oxacycloheptadec-10-ene-2-one,musk like,sweet,berry,musk like,"['musk like', 'sweet', 'berry']"
111879-80-2,"oxacyclohexadec-12-en-2-one, (12e)-",musk like,warm,powdery,musk like,"['musk like', 'warm', 'powdery']"
111879-79-9,"oxacyclohexadec-12-en-2-one, (12z)-",musk like,warm,powdery,musk like,"['musk like', 'warm', 'powdery']"
99219-32-6,"oxacyclohexadec-13-en-2-one, (13e)-",musk like,warm,powdery,musk like,"['musk like', 'warm', 'powdery']"
111879-81-3,"oxacyclohexadec-13-en-2-one, (13z)-",musk like,warm,powdery,musk like,"['musk like', 'warm', 'powdery']"
38223-29-9,"oxacyclohexadecane-2,13-dione",musk like,sweet,powdery,musk like,"['musk like', 'sweet', 'powdery']"
34902-57-3,oxacyclohexadecen-2-one,musk like,warm,powdery,musk like,"['musk like', 'warm', 'powdery']"
329925-33-9,"oxacyclopentadec-10-en-2-one, 13-methyl-",musk like,fruity,amber,musk like,"['musk like', 'fruity', 'amber']"
6324-78-3,"p-(2,2-dimethoxyethoxy)toluene",floral,green,fresh,floral,"['floral', 'green', 'fresh']"
42866-91-1,"p-(2,2-dimethoxyethyl)toluene",green,floral,aldehydic,green,"['green', 'floral', 'aldehydic']"
1195-32-0,"p,alpha-dimethylstyrene",smoky,spicy,clove,smoky,"['smoky', 'spicy', 'clove']"
8014-19-5,palmarosa oil,floral,herbal,green,floral,"['floral', 'herbal', 'green']"
1197-01-9,"p-alpha,alpha-trimethylbenzyl alcohol",fruity,cherry,sweet,fruity,"['fruity', 'cherry', 'sweet']"
104-21-2,p-anisyl acetate,floral,anisic,fruity,floral,"['floral', 'anisic', 'fruity']"
84625-29-6,paprika oleoresin,spicy,warm,dry,spicy,"['spicy', 'warm', 'dry']"
123-63-7,paraldehyde,fruity,sweet,aromatic,fruity,"['fruity', 'sweet', 'aromatic']"
8000-68-8,parsley herb oil,herbal,parsley,green,herbal,"['herbal', 'parsley', 'green']"
8025-95-4,parsley oleoresin,spicy,green,peppery,spicy,"['spicy', 'green', 'peppery']"
854535-37-8,passionflower extract,fruity,tropical-fruit,grapefruit,fruity,"['fruity', 'tropical-fruit', 'grapefruit']"
8014-09-3,patchouli,woody,earthy,patchouli,woody,"['woody', 'earthy', 'patchouli']"
5986-55-0,patchouli alcohol,woody,patchouli,earthy,woody,"['woody', 'patchouli', 'earthy']"
73049-67-9,"patchouli oil, terpene-free",woody,earthy,patchouli,woody,"['woody', 'earthy', 'patchouli']"
106-44-5,p-cresol,floral,jasmin,ylang,floral,"['floral', 'jasmin', 'ylang']"
614-34-6,p-cresyl benzoate,smoky,woody,ylang,smoky,"['smoky', 'woody', 'ylang']"
607-88-5,p-cresyl salicylate,balsamic,floral,green,balsamic,"['balsamic', 'floral', 'green']"
99-87-6,p-cymene,citrus,lemon,green,citrus,"['citrus', 'lemon', 'green']"
150-78-7,p-dimethoxybenzene,powdery,anisic,balsamic,powdery,"['powdery', 'anisic', 'balsamic']"
1429493-82-2,peach extract,fruity,peach,juicy,fruity,"['fruity', 'peach', 'juicy']"
90082-43-2,pear distillate,fruity,pear,apple,fruity,"['fruity', 'pear', 'apple']"
94333-77-4,"pelargonium graveolens, ext., sapond.",floral,geranium,rose,floral,"['floral', 'geranium', 'rose']"
8013-99-8,"pennyroyal oil, europe",minty,fresh,herbal,minty,"['minty', 'fresh', 'herbal']"
68917-60-2,"pennyroyal oil, terpenes",minty,herbal,green,minty,"['minty', 'herbal', 'green']"
