CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
7399-50-0,2-(1-ethylpropyl)pyridine,green,galbanum,bell pepper,green,"['green', 'galbanum', 'bell pepper']"
37172-02-4,2-(1-methylpropyl)-1-vinylcyclohexyl acetate,woody,amber,dry,woody,"['woody', 'amber', 'dry']"
929625-08-1,"2-(2,2,7,7-tetramethyltricyclo[6.2.1.01,6]undec-5-en-5-yl)propan-1-ol",amber,woody,cedarwood,amber,"['amber', 'woody', 'cedarwood']"
2226-05-3,"2-(3,3-dimethylbicyclo[2.2.1]hept-2-ylidene)ethanol",woody,patchouli,camphoraceous,woody,"['woody', 'patchouli', 'camphoraceous']"
68133-79-9,"2-(3,7-dimethyl-2,6-octadienyl)cyclopentanone",fruity,peach,plum,fruity,"['fruity', 'peach', 'plum']"
92015-65-1,"2(3h)-benzofuranone, hexahydro-3,6-dimethyl-",fruity,coconut,tropical-fruit,fruity,"['fruity', 'coconut', 'tropical-fruit']"
4359-47-1,"2-(3-heptyl)-1,3-dioxolane",green,fruity,floral,green,"['green', 'fruity', 'floral']"
2110-18-1,2-(3-phenylpropyl)pyridine,spicy,fresh,green,spicy,"['spicy', 'fresh', 'green']"
3208-40-0,2-(3-phenylpropyl)tetrahydrofuran,fruity,sweet,green,fruity,"['fruity', 'sweet', 'green']"
80417-97-6,"2(4h)-benzofuranone, 5,6-dihydro-3,6-dimethyl-",gourmand,sweet,coconut,gourmand,"['gourmand', 'sweet', 'coconut']"
34291-99-1,2-(4-isopropylphenyl)propionaldehyde,green,floral,muguet,green,"['green', 'floral', 'muguet']"
80819-94-9,2-(4-methyl-1-phenyl)-2-propanethiol,fruity,grapefruit,sulfurous,fruity,"['fruity', 'grapefruit', 'sulfurous']"
65817-24-5,2-(4-methyl-2-hydroxyphenyl)propionic acid-gamma-lactone,aromatic,minty,sweet,aromatic,"['aromatic', 'minty', 'sweet']"
94159-31-6,2-(4-methyl-5-thiazolyl)ethyl butanoate,food like,nutty,savoury,food like,"['food like', 'nutty', 'savoury']"
15149-10-7,2-(4-methylphenoxy)ethanol,floral,anisic,honey,floral,"['floral', 'anisic', 'honey']"
1333-58-0,2-(methylpropyl)quinoline,herbal,powerful,leathery,herbal,"['herbal', 'powerful', 'leathery']"
95962-14-4,2-(p-menth-1-ene-10-yl)cyclopentanone,fruity,peach,apricot,fruity,"['fruity', 'peach', 'apricot']"
99-72-9,2-(p-tolyl)propionaldehyde,green,floral,aldehydic,green,"['green', 'floral', 'aldehydic']"
60047-17-8,2-(tetrahydro-5-methyl-5-vinyl-2-furyl)propan-2-ol,herbal,musty,camphoraceous,herbal,"['herbal', 'musty', 'camphoraceous']"
51608-18-5,2-(trans-2-pentenyl)cyclopentanone,fruity,jasmin,oily,fruity,"['fruity', 'jasmin', 'oily']"
197098-61-6,"2,5,7-octatrien-1-ol, 2,6-dimethyl-, 1-acetate",fruity,fresh,sweet,fruity,"['fruity', 'fresh', 'sweet']"
76917-23-2,"2,6-octadienal, (2e,6z)-",green,watery,aldehydic,green,"['green', 'watery', 'aldehydic']"
1891-67-4,"2,6-octadienal, 3,6,7-trimethyl-",citrus,lemon,herbal,citrus,"['citrus', 'lemon', 'herbal']"
52711-52-1,"2,7-decadienal, (2e,7z)-",green,violet,cucumber,green,"['green', 'violet', 'cucumber']"
1801275-25-1,"2,7-decadienenitrile",green,fruity,floral,green,"['green', 'fruity', 'floral']"
1801275-26-2,"2,7-decadienenitrile, (2e,7z)-",green,fruity,floral,green,"['green', 'fruity', 'floral']"
21662-22-6,"2,7-nonadienal, (2e,7z)-",green,violet,cucumber,green,"['green', 'violet', 'cucumber']"
6931-54-0,"2,10-epoxypinane",herbal,rosemary,camphoraceous,herbal,"['herbal', 'rosemary', 'camphoraceous']"
72894-15-6,"2,12-tridecadienal",aldehydic,fatty,waxy,aldehydic,"['aldehydic', 'fatty', 'waxy']"
4437-20-1,"2,2'-(dithiodimethylene)-difuran",sulfurous,coffee,onion,sulfurous,"['sulfurous', 'coffee', 'onion']"
4501-58-0,"2,2,3-trimethyl-3-cyclopentene-1-acetaldehyde",aldehydic,green,herbal,aldehydic,"['aldehydic', 'green', 'herbal']"
15373-31-6,"2,2,3-trimethylcyclopent-3-enylacetonitrile",herbal,aromatic,juniper,herbal,"['herbal', 'aromatic', 'juniper']"
75490-39-0,"2,2,4-trimethyl-4-phenyl-butane-nitrile",citrus,grapefruit,rhubarb,citrus,"['citrus', 'grapefruit', 'rhubarb']"
65443-14-3,"2,2,5-trimethyl-5-pentylcyclopentanone",floral,jasmin,peach,floral,"['floral', 'jasmin', 'peach']"
7392-19-0,"2,2,6-trimethyl-6-vinyltetrahydropyran",citrus,lime,woody,citrus,"['citrus', 'lime', 'woody']"
2408-37-9,"2,2,6-trimethylcyclohexanone",citrus,honey,labdanum,citrus,"['citrus', 'honey', 'labdanum']"
69103-20-4,"2,2-dimethyl-3-(3-methyl-2,4-pentadienyl)oxirane",herbal,floral,green,herbal,"['herbal', 'floral', 'green']"
104468-21-5,"2,2-dimethyl-3-methyl-3-butenyl propanoate",herbal,chamomile,fruity,herbal,"['herbal', 'chamomile', 'fruity']"
13351-61-6,"2,2-dimethyl-3-phenylpropanol",floral,rose,fresh,floral,"['floral', 'rose', 'fresh']"
7416-35-5,"2,2-dimethyl-5-(1-methylpropen-1-yl)tetrahydrofuran",herbal,citrus,green,herbal,"['herbal', 'citrus', 'green']"
54440-17-4,"2,3,3-trimethylindanone",spicy,warm,leathery,spicy,"['spicy', 'warm', 'leathery']"
68433-81-8,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1h)-one",powdery,woody,tobacco,powdery,"['powdery', 'woody', 'tobacco like']"
3054-92-0,"2,3,4-trimethyl-3-pentanol",fruity,green,fresh,fruity,"['fruity', 'green', 'fresh']"
1124-11-4,"2,3,5,6-tetramethylpyrazine",gourmand,nutty,coffee,gourmand,"['gourmand', 'nutty', 'coffee']"
14667-55-1,"2,3,5-trimethylpyrazine",green,nutty,earthy,green,"['green', 'nutty', 'earthy']"
2416-94-6,"2,3,6-trimethylphenol",smoky,phenolic,leathery,smoky,"['smoky', 'phenolic', 'leathery']"
513-85-9,"2,3-butanediol",fruity,creamy,buttery,fruity,"['fruity', 'creamy', 'buttery']"
18138-04-0,"2,3-diethyl-5-methylpyrazine",gourmand,nutty,nutty,gourmand,"['gourmand', 'nutty', 'nutty']"
15707-24-1,"2,3-diethylpyrazine",food like,green,vegetable,food like,"['food like', 'green', 'vegetable']"
